open,open close,close,area,adress,name,category,mub
20210729,03,20210831,10.00,중구 계산동2가 200 현대백화점 지하1층 식품관 ,송원지이(테이스틸러),백화점,N
20210823,03,20210902,,중구 계산동2가 0200 현대백화점 지하1층 ,유니콘플랜,일반조리판매,N
20210901,03,20210916,10.00,중구 계산동2가 0200 현대백화점 지하1층 ,호두붐,기타 휴게음식점,N
20210428,03,20210531,10.00,중구 계산동2가 200 현대백화점 지하1층 ,송원지이,일반조리판매,N
20210511,03,20210719,1.44,중구 대신동 0115-0038 서문야시장판매대 제13호 ,마담완 반세오,일반조리판매,N
20210520,03,20210618,33.06,중구 계산동2가 200 현대백화점 8층 ,시노베,일반조리판매,N
20210630,03,20210731,10.00,중구 계산동2가 0200 현대백화점 지하1층 ,송원지이(테이스틸러),일반조리판매,N
20210615,03,20210627,6.60,중구 계산동2가 0200 현대백화점 지하1층 ,호두붐,기타 휴게음식점,N
20210607,03,20210630,10.00,중구 계산동2가 200 현대백화점 지하1층식품관 ,유니콘플랜,기타 휴게음식점,N
20210531,03,20210630,10.00,중구 계산동2가 0200 현대백화점 지하1층 ,송원지이,일반조리판매,N
20180928,03,20201113,47.70,중구 남산동 0625-0003 지상 1층 ,우든(wooden),커피숍,N
20180913,03,20181016,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제9호 ,찌나케이크,일반조리판매,N
20180920,03,20200920,1.44,중구 대신동 0115-0038 서문야시장판매대 제26호 ,달려라쥬스,일반조리판매,N
20180928,03,20201112,34.90,중구 대봉동 0121-0205 지상 1층 ,미끄마끄(mic-mac),기타 휴게음식점,N
20180917,03,20190315,28.10,중구 교동 0070-0010번지 지상1층 ,엔로드해브,일반조리판매,N
20180917,03,20181119,1.44,중구 대신동 0115-0038번지 서문야시장판매대 제23호 ,설백향떡집,일반조리판매,N
20180914,03,20210618,30.00,중구 동산동 0053 지상 1층 ,다루,일반조리판매,N
20200925,03,20210615,35.48,중구 대봉동 0002-0031 ,내사랑 봉이분식,일반조리판매,N
20201008,03,20201117,,중구 태평로1가 0001-0157 번개시장 ,번개분식,일반조리판매,N
